baseline_id,structure,structural_deviation,source_term,source_partition
SB3533,"nail matrix, plate-production, and periungual structure","altered configuration or regulated output of the named structure, expressed as the state described by nail ridging",Nail ridging,remaining_5256
SB3534,"nail matrix, plate-production, and periungual structure","altered configuration or regulated output of the named structure, expressed as the state described by nail thinning",Nail thinning,remaining_5256
SB3535,"nail matrix, plate-production, and periungual structure",departure from the reference structural configuration or regulated functional range,Nail toxicity,remaining_5256
SB3536,"sleep-wake timing, arousal, and state-transition neural network","altered configuration or regulated output of the named structure, expressed as the state described by narcolepsy",Narcolepsy,remaining_5256
SB3537,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal burning",Nasal burning,remaining_5256
SB3538,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal congestion",Nasal congestion,remaining_5256
SB3539,"nasal-sinus mucosal barrier, vascular, and drainage structure",abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Nasal discomfort,remaining_5256
SB3540,"nasal-sinus mucosal barrier, vascular, and drainage structure",departure from the reference structural configuration or regulated functional range,Nasal disorder,remaining_5256
SB3541,"nasal-sinus mucosal barrier, vascular, and drainage structure",reduced water or secretory content relative to the normal hydrated state,Nasal dryness,remaining_5256
SB3542,"nasal-sinus mucosal barrier, vascular, and drainage structure","localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Nasal inflammation,remaining_5256
SB3543,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal irritation",Nasal irritation,remaining_5256
SB3544,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal itching",Nasal itching,remaining_5256
SB3545,"nasal-sinus mucosal barrier, vascular, and drainage structure",departure from the reference structural configuration or regulated functional range,Nasal mucosal disorder,remaining_5256
SB3546,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal mucus blood tinged",Nasal mucus blood tinged,remaining_5256
SB3547,"nasal-sinus mucosal barrier, vascular, and drainage structure",partial or complete luminal/pathway blockage with impaired transit or flow,Nasal obstruction,remaining_5256
SB3548,"nasal-sinus mucosal barrier, vascular, and drainage structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Nasal oedema,remaining_5256
SB3549,"nasal-sinus mucosal barrier, vascular, and drainage structure",increased nociceptive signaling associated with local tissue or neural perturbation,Nasal pain,remaining_5256
SB3550,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal passage irritation",Nasal passage irritation,remaining_5256
SB3551,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal polyps",Nasal polyps,remaining_5256
SB3552,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal septum deviation",Nasal septum deviation,remaining_5256
SB3553,"nasal-sinus mucosal barrier, vascular, and drainage structure",departure from the reference structural configuration or regulated functional range,Nasal septum disorder,remaining_5256
SB3554,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal septum perforation",Nasal septum perforation,remaining_5256
SB3555,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal septum ulceration",Nasal septum ulceration,remaining_5256
SB3556,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal sinus drainage",Nasal sinus drainage,remaining_5256
SB3557,"nasal-sinus mucosal barrier, vascular, and drainage structure","altered configuration or regulated output of the named structure, expressed as the state described by nasal soreness",Nasal soreness,remaining_5256
SB3558,"nasal-sinus mucosal barrier, vascular, and drainage structure",localized epithelial or tissue-surface loss with reduced barrier continuity,Nasal ulcer,remaining_5256
SB3559,pharyngeal mucosal barrier and swallowing-interface structure,loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Nasopharyngeal cancer,remaining_5256
SB3560,pharyngeal mucosal barrier and swallowing-interface structure,loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Nasopharyngeal carcinoma,remaining_5256
SB3561,pharyngeal mucosal barrier and swallowing-interface structure,departure from the reference structural configuration or regulated functional range,Nasopharyngeal disorder,remaining_5256
SB3562,pharyngeal mucosal barrier and swallowing-interface structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Nasopharyngitis,remaining_5256
SB3563,whole-organism integrated physiological structure,aberrant visceral-autonomic signaling favoring emetic motor activation,Nausea,remaining_5256
SB3564,whole-organism integrated physiological structure,aberrant visceral-autonomic signaling favoring emetic motor activation,Nausea aggravated,remaining_5256
SB3565,whole-organism integrated physiological structure,aberrant visceral-autonomic signaling favoring emetic motor activation,Nausea postoperative,remaining_5256
SB3566,whole-organism tissue mechanical and barrier integrity structure,externally imposed mechanical/thermal/chemical tissue-integrity disruption,Neck injury,remaining_5256
SB3567,microvascular-interstitial fluid distribution and clearance structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Neck oedema of,remaining_5256
SB3568,"regional muscle, fascia, tendon, ligament, and skeletal-load structure",increased nociceptive signaling associated with local tissue or neural perturbation,Neck pain,remaining_5256
SB3569,whole-organism integrated physiological structure,"abnormally increased mechanical resistance, muscle tone, or tissue stiffness",Neck stiffness,remaining_5256
SB3570,microvascular-interstitial fluid distribution and clearance structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Neck swelling,remaining_5256
SB3571,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by neck tightness",Neck tightness,remaining_5256
SB3572,"cutaneous epidermal-dermal barrier, appendage, vascular, and immune structure","altered configuration or regulated output of the named structure, expressed as the state described by necrolysis epidermal",Necrolysis epidermal,remaining_5256
SB3573,whole-organism integrated physiological structure,loss of cellular viability with local tissue structural breakdown,Necrosis,remaining_5256
SB3574,whole-organism integrated physiological structure,loss of cellular viability with local tissue structural breakdown,Necrosis ischaemic,remaining_5256
SB3575,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Necrotising colitis,remaining_5256
SB3576,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Necrotising enterocolitis neonatal,remaining_5256
SB3577,tendon-ligament collagenous load-transfer structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Necrotising fasciitis,remaining_5256
SB3578,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Necrotizing enterocolitis,remaining_5256
SB3579,whole-organism tissue mechanical and barrier integrity structure,externally imposed mechanical/thermal/chemical tissue-integrity disruption,Needle injury,remaining_5256
SB3580,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by negativism",Negativism,remaining_5256
SB3581,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Neisseria infection,remaining_5256
SB3582,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Neonatal and infancy disorder,remaining_5256
SB3583,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Neonatal disorder,remaining_5256
SB3584,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Neonatal infection,remaining_5256
SB3585,whole-organism integrated physiological structure,abnormal respiratory timing or ventilation state,Neonatal tachypnoea,remaining_5256
SB3586,"tissue cellular proliferation, differentiation, and architecture structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Neoplasm,remaining_5256
SB3587,"tissue cellular proliferation, differentiation, and architecture structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Neoplasm malignant,remaining_5256
SB3588,"tissue cellular proliferation, differentiation, and architecture structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Neoplasm malignant aggravated,remaining_5256
SB3589,"male gonadal, ductal, accessory-gland, and reproductive-output structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Neoplasm prostate,remaining_5256
SB3590,"tissue cellular proliferation, differentiation, and architecture structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Neoplasm recurrence,remaining_5256
SB3591,cutaneous epidermal-dermal barrier and local immune structure,loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Neoplasm skin,remaining_5256
SB3592,renal glomerular-tubular filtration and fluid-balance structure,departure from the reference structural configuration or regulated functional range,Nephritic syndrome,remaining_5256
SB3593,renal glomerular-tubular filtration and fluid-balance structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Nephritis,remaining_5256
SB3594,renal glomerular-tubular filtration and fluid-balance structure,"localized or systemic inflammatory activation with altered barrier, vascular, and cellular organization",Nephritis interstitial,remaining_5256
SB3595,renal glomerular-tubular filtration and fluid-balance structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Nephrocalcinosis,remaining_5256
SB3596,renal glomerular-tubular filtration and fluid-balance structure,failure of water-conservation signaling or renal response causing excessive dilute urine output,Nephrogenic diabetes insipidus,remaining_5256
SB3597,renal glomerular-tubular filtration and fluid-balance structure,excess matrix deposition/remodeling with increased tissue stiffness and reduced normal architecture,Nephrogenic systemic fibrosis,remaining_5256
SB3598,renal glomerular-tubular filtration and fluid-balance structure,"altered configuration or regulated output of the named structure, expressed as the state described by nephrolithiasis",Nephrolithiasis,remaining_5256
SB3599,renal glomerular-tubular filtration and fluid-balance structure,structural-functional tissue disorder with impaired normal operation of the named structure,Nephropathy,remaining_5256
SB3600,renal glomerular-tubular filtration and fluid-balance structure,structural-functional tissue disorder with impaired normal operation of the named structure,Nephropathy toxic,remaining_5256
SB3601,ocular optical-retinal-neural visual structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Nephrosclerosis,remaining_5256
SB3602,renal glomerular-tubular filtration and fluid-balance structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Nephrosis,remaining_5256
SB3603,renal glomerular-tubular filtration and fluid-balance structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Nephrosis lower nephron,remaining_5256
SB3604,renal glomerular-tubular filtration and fluid-balance structure,departure from the reference structural configuration or regulated functional range,Nephrotic syndrome,remaining_5256
SB3605,renal glomerular-tubular filtration and fluid-balance structure,"altered configuration or regulated output of the named structure, expressed as the state described by nephrotoxicity",Nephrotoxicity,remaining_5256
SB3606,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by nerve compression",Nerve compression,remaining_5256
SB3607,peripheral sensory-nerve axonal conduction structure,departure from the reference structural configuration or regulated functional range,Nerve conduction studies abnormal,remaining_5256
SB3608,peripheral sensory-nerve axonal conduction structure,externally imposed mechanical/thermal/chemical tissue-integrity disruption,Nerve injury,remaining_5256
SB3609,peripheral sensory-nerve axonal conduction structure,reduced or absent motor neural output and target-tissue activation,Nerve paralysis,remaining_5256
SB3610,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by nerve root lesion",Nerve root lesion,remaining_5256
SB3611,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Nervous system disorder,remaining_5256
SB3612,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by nervous tremulousness",Nervous tremulousness,remaining_5256
SB3613,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by nervousness",Nervousness,remaining_5256
SB3614,"developmental tissue-patterning, morphogenesis, and organ-architecture structure",departure from the reference structural configuration or regulated functional range,Netherton's syndrome,remaining_5256
SB3615,cutaneous epidermal-dermal barrier and local immune structure,abnormal surface-barrier morphology with local inflammatory/vascular fluid redistribution,Nettle rash,remaining_5256
SB3616,cochlear-mechanical and auditory-neural transduction structure,reduced auditory mechanical/neural transduction,Neural hearing loss,remaining_5256
SB3617,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by neural tube defect",Neural tube defect,remaining_5256
SB3618,peripheral sensory-nerve axonal conduction structure,peripheral neural axonal/conduction integrity loss or aberrant sensory signaling,Neuralgia,remaining_5256
SB3619,peripheral sensory-nerve axonal conduction structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Neuritis,remaining_5256
SB3620,peripheral sensory-nerve axonal conduction structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Neuritis retrobulbar,remaining_5256
SB3621,cutaneous epidermal-dermal barrier and local immune structure,"localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Neurodermatitis,remaining_5256
SB3622,"tissue cellular proliferation, differentiation, and architecture structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Neuroectodermal neoplasm,remaining_5256
SB3623,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by neurofibroma",Neurofibroma,remaining_5256
SB3624,whole-organism integrated physiological structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Neurofibromatosis,remaining_5256
SB3625,"urinary bladder wall, storage, outlet, and emptying-control structure","altered configuration or regulated output of the named structure, expressed as the state described by neurogenic bladder",Neurogenic bladder,remaining_5256
SB3626,"tissue cellular proliferation, differentiation, and architecture structure",departure from the reference structural configuration or regulated functional range,Neuroleptic malignant syndrome,remaining_5256
SB3627,whole-organism integrated physiological structure,acute or subacute state transition of the named structure in response to an external or internal perturbation,Neurologic reaction,remaining_5256
SB3628,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Neurological examination abnormal,remaining_5256
SB3629,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by neurological impairment",Neurological impairment,remaining_5256
SB3630,whole-organism integrated physiological structure,observable sensory or functional output indicating departure from the reference structural state,Neurological symptom,remaining_5256
SB3631,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by neuroma",Neuroma,remaining_5256
SB3632,whole-organism integrated physiological structure,event duration or measured interval extended beyond the reference timing range,Neuromuscular block prolonged,remaining_5256
SB3633,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Neuromuscular toxicity,remaining_5256
SB3634,skeletal-muscle fiber excitation-contraction structure,structural-functional tissue disorder with impaired normal operation of the named structure,Neuromyopathy,remaining_5256
SB3635,"synovial joint cartilage, capsule, fluid, and periarticular structure","abnormal joint cartilage, capsule, bone-interface, or mechanical function",Neuropathic arthropathy,remaining_5256
SB3636,peripheral sensory-nerve axonal conduction structure,peripheral neural axonal/conduction integrity loss or aberrant sensory signaling,Neuropathy,remaining_5256
SB3637,peripheral sensory-nerve axonal conduction structure,peripheral neural axonal/conduction integrity loss or aberrant sensory signaling,Neuropathy peripheral,remaining_5256
SB3638,whole-organism integrated physiological structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Neurosis,remaining_5256
SB3639,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by neurotoxicity",Neurotoxicity,remaining_5256
SB3640,measured biological quantity and its generating physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by neurotransmitter level altered",Neurotransmitter level altered,remaining_5256
SB3641,whole-organism integrated physiological structure,quantity of the named cell/tissue component reduced below the reference range,Neutropenia,remaining_5256
SB3642,whole-organism integrated physiological structure,quantity of the named cell/tissue component reduced below the reference range,Neutropenia aggravated,remaining_5256
SB3643,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Neutropenic colitis,remaining_5256
SB3644,"colorectal mucosal barrier, motility, and transit structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Neutropenic enterocolitis,remaining_5256
SB3645,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Neutropenic infection,remaining_5256
SB3646,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Neutropenic sepsis,remaining_5256
SB3647,"circulating leukocyte production, distribution, and effector-cell structure",measured or functional quantity shifted below its reference structural range,Neutrophil count decreased,remaining_5256
SB3648,"circulating leukocyte production, distribution, and effector-cell structure",measured or functional quantity shifted above its reference structural range,Neutrophil count increased,remaining_5256
SB3649,"circulating leukocyte production, distribution, and effector-cell structure",measured or functional quantity shifted above its reference structural range,Neutrophil percentage increased,remaining_5256
SB3650,"circulating leukocyte production, distribution, and effector-cell structure","altered configuration or regulated output of the named structure, expressed as the state described by neutrophilia",Neutrophilia,remaining_5256
SB3651,"circulating leukocyte production, distribution, and effector-cell structure","abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Neutrophilic dermatosis,remaining_5256
SB3652,localized cutaneous melanocytic/epithelial tissue-growth structure,localized tissue overgrowth or mass formation with altered normal architecture,Nevus,remaining_5256
SB3653,whole-organism integrated physiological structure,persistent behavior/exposure-control state overriding normal homeostatic regulation,Nicotine dependence,remaining_5256
SB3654,"whole-organism chemical exposure, distribution, and clearance structure","altered configuration or regulated output of the named structure, expressed as the state described by nicotine poisoning",Nicotine poisoning,remaining_5256
SB3655,whole-organism integrated physiological structure,insufficient quantity or output of the named component relative to structural demand,Nicotinic acid deficiency,remaining_5256
SB3656,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by nicotinic effects",Nicotinic effects,remaining_5256
SB3657,ocular optical-retinal-neural visual structure,severe or complete loss of visual signal formation or transmission,Night blindness,remaining_5256
SB3658,skeletal-muscle fiber excitation-contraction structure,episodic smooth-muscle contraction with associated luminal pressure and nociceptive signaling,Night cramps,remaining_5256
SB3659,eccrine-apocrine sweat-gland secretory structure,"altered configuration or regulated output of the named structure, expressed as the state described by night sweats",Night sweats,remaining_5256
SB3660,"sleep-wake timing, arousal, and state-transition neural network",dysphoric dream-state content with abnormal sleep-associated affective activation,Nightmare,remaining_5256
SB3661,mammary gland ductal-lobular and secretory structure,departure from the reference structural configuration or regulated functional range,Nipple disorder,remaining_5256
SB3662,mammary gland ductal-lobular and secretory structure,increased nociceptive signaling associated with local tissue or neural perturbation,Nipple pain,remaining_5256
SB3663,mammary gland ductal-lobular and secretory structure,"excess fluid accumulation within interstitial, tissue, or cavity compartments",Nipple swelling,remaining_5256
SB3664,mammary gland ductal-lobular and secretory structure,increased nociceptive signaling associated with local tissue or neural perturbation,Nipple tenderness,remaining_5256
SB3665,vestibular sensory-transduction and balance-control structure,absence or reduction of the measured target relative to the expected reference state,Nitrogen balance negative,remaining_5256
SB3666,innate-adaptive host-defense structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Nocardiosis,remaining_5256
SB3667,whole-organism integrated physiological structure,"abnormal presence, concentration, or excretion of the named material in urine",Nocturia,remaining_5256
SB3668,"cortical attention, cognition, consciousness, and arousal network","disorganized or reduced cortical integration of attention, cognition, and state representation",Nocturnal confusion,remaining_5256
SB3669,"pulmonary ventilation, airway resistance, and alveolar gas-exchange structure",insufficient or unstable ventilation/gas exchange relative to metabolic demand,Nocturnal dyspnoea,remaining_5256
SB3670,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by nocturnal emission",Nocturnal emission,remaining_5256
SB3671,"urinary bladder wall, storage, outlet, and emptying-control structure","altered configuration or regulated output of the named structure, expressed as the state described by nocturnal enuresis",Nocturnal enuresis,remaining_5256
SB3672,cardiac conduction and myocardial rhythm structure,abnormal cardiac activation sequence producing disordered rhythm and mechanical timing,Nodal arrhythmia,remaining_5256
SB3673,cardiac conduction and myocardial rhythm structure,interruption or delay of normal electrical conduction between coupled excitable regions,Nodal block,remaining_5256
SB3674,cardiac conduction and myocardial rhythm structure,"altered configuration or regulated output of the named structure, expressed as the state described by nodal rhythm",Nodal rhythm,remaining_5256
SB3675,cardiac conduction and myocardial rhythm structure,cardiac activation frequency above the reference rhythm range,Nodal tachycardia,remaining_5256
SB3676,whole-organism integrated physiological structure,increase in tissue mass or cellular content beyond the reference configuration,Nodular regenerative hyperplasia,remaining_5256
SB3677,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by nodule",Nodule,remaining_5256
SB3678,"lymphoid tissue organization, lymphocyte production, and immune-response structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Non-Hodgkin's lymphoma,remaining_5256
SB3679,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by non-q wave mi",Non-Q wave MI,remaining_5256
SB3680,"oral mucosal, gingival, dental, and salivary-interface structure",externally imposed mechanical/thermal/chemical tissue-integrity disruption,Non-accidental injury,remaining_5256
SB3681,"cardiac myocardium, conduction, chamber, valve, and coronary-perfusion structure",increased nociceptive signaling associated with local tissue or neural perturbation,Non-cardiac chest pain,remaining_5256
SB3682,"pulmonary airway-alveolar, pleural, and gas-exchange structure","excess fluid accumulation within interstitial, tissue, or cavity compartments",Non-cardiogenic pulmonary oedema,remaining_5256
SB3683,"pulmonary airway-alveolar, pleural, and gas-exchange structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Non-small cell lung cancer,remaining_5256
SB3684,cardiac conduction and myocardial rhythm structure,cardiac activation frequency above the reference rhythm range,Non-sustained ventricular tachycardia,remaining_5256
SB3685,cortical neuronal excitability and synchronized electrical-network structure,pathologic synchronized neural excitability producing episodic network discharge,Nonconvulsive status epilepticus,remaining_5256
SB3686,"peritoneal mesothelial, cavity-fluid, and visceral-interface structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Noninfectious peritonitis,remaining_5256
SB3687,thyroid follicular hormone-production and release structure,"altered configuration or regulated output of the named structure, expressed as the state described by nontoxic goiter",Nontoxic goiter,remaining_5256
SB3688,"erythrocyte production, integrity, and oxygen-transport structure",reduced erythrocyte/hemoglobin oxygen-transport capacity relative to systemic demand,Normochromic normocytic anaemia,remaining_5256
SB3689,"erythrocyte production, integrity, and oxygen-transport structure",reduced erythrocyte/hemoglobin oxygen-transport capacity relative to systemic demand,Normocytic anemia,remaining_5256
SB3690,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Nose infection NOS,remaining_5256
SB3691,pulmonary airway-alveolar ventilation and gas-exchange structure,alveolar/airway inflammatory occupation with fluid-cellular exudate reducing gas-exchange surface,Nosocomial pneumonia,remaining_5256
SB3692,basal-ganglia-thalamocortical motor-control network,"abnormally increased mechanical resistance, muscle tone, or tissue stiffness",Nuchal rigidity,remaining_5256
SB3693,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by numbness",Numbness,remaining_5256
SB3694,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by numbness facial",Numbness facial,remaining_5256
SB3695,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by numbness generalized",Numbness generalized,remaining_5256
SB3696,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by numbness in fingers",Numbness in fingers,remaining_5256
SB3697,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by numbness in leg",Numbness in leg,remaining_5256
SB3698,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by numbness lips",Numbness lips,remaining_5256
SB3699,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by numbness of limbs",Numbness of limbs,remaining_5256
SB3700,peripheral sensory-nerve axonal conduction structure,"altered configuration or regulated output of the named structure, expressed as the state described by numbness of tongue",Numbness of tongue,remaining_5256
SB3701,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by nystagmus",Nystagmus,remaining_5256
SB3702,"adipose-tissue storage, body-composition, and energy-balance structure",net body-energy storage exceeding expenditure with increased tissue mass,Obesity,remaining_5256
SB3703,"conducting-airway mucosal, ciliary, and secretion-clearance structure","localized inflammatory activation with cellular infiltration, vascular change, and tissue-function perturbation",Obliterative bronchiolitis,remaining_5256
SB3704,whole-organism integrated physiological structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Obsessional neurosis,remaining_5256
SB3705,limbic-cortical affective and behavioral-control network,"altered configuration or regulated output of the named structure, expressed as the state described by obsessive rumination",Obsessive rumination,remaining_5256
SB3706,limbic-cortical affective and behavioral-control network,"altered configuration or regulated output of the named structure, expressed as the state described by obsessive thoughts",Obsessive thoughts,remaining_5256
SB3707,limbic-cortical affective and behavioral-control network,departure from the reference structural configuration or regulated functional range,Obsessive-compulsive disorder,remaining_5256
SB3708,limbic-cortical affective and behavioral-control network,departure from the reference structural configuration or regulated functional range,Obsessive-compulsive personality disorder,remaining_5256
SB3709,"intestinal mucosal barrier, smooth-muscle motility, and luminal transport structure","altered configuration or regulated output of the named structure, expressed as the state described by obstipation",Obstipation,remaining_5256
SB3710,whole-organism integrated physiological structure,partial or complete luminal/pathway blockage with impaired transit or flow,Obstruction,remaining_5256
SB3711,conducting-airway mucosal and bronchial smooth-muscle caliber structure,departure from the reference structural configuration or regulated functional range,Obstructive airways disorder,remaining_5256
SB3712,"sleep-wake timing, arousal, and state-transition neural network",insufficient or unstable ventilation/gas exchange relative to metabolic demand,Obstructive sleep apnea syndrome,remaining_5256
SB3713,peripheral-central nociceptive sensory-transmission structure,"altered configuration or regulated output of the named structure, expressed as the state described by occipital headache",Occipital headache,remaining_5256
SB3714,peripheral sensory-nerve axonal conduction structure,peripheral neural axonal/conduction integrity loss or aberrant sensory signaling,Occipital neuralgia,remaining_5256
SB3715,whole-organism integrated physiological structure,detectable presence of the measured target where the reference state is absent or lower,Occult blood positive,remaining_5256
SB3716,whole-organism integrated physiological structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Ochronosis,remaining_5256
SB3717,"ocular optical, retinal, vascular, and visual-neural structure",abnormal sensory-autonomic signaling indicating departure from the reference local functional state,Ocular discomfort,remaining_5256
SB3718,"ocular optical, retinal, vascular, and visual-neural structure","excess magnitude, activity, quantity, or tissue state above the reference configuration",Ocular hyperaemia,remaining_5256
SB3719,"ocular optical, retinal, vascular, and visual-neural structure",vascular pressure/load above the reference hemodynamic state,Ocular hypertension,remaining_5256
SB3720,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by ocular icterus",Ocular icterus,remaining_5256
SB3721,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by ocular stinging",Ocular stinging,remaining_5256
SB3722,"ocular optical, retinal, vascular, and visual-neural structure","altered configuration or regulated output of the named structure, expressed as the state described by ocular surface disease",Ocular surface disease,remaining_5256
SB3723,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Ocular toxicity,remaining_5256
SB3724,"ocular optical, retinal, vascular, and visual-neural structure",departure from the reference structural configuration or regulated functional range,Ocular vascular disorder,remaining_5256
SB3725,"pulmonary airway-alveolar, pleural, and gas-exchange structure",departure from the reference structural configuration or regulated functional range,Oculo-respiratory syndrome,remaining_5256
SB3726,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by oculogyration",Oculogyration,remaining_5256
SB3727,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by oculogyric crisis",Oculogyric crisis,remaining_5256
SB3728,cutaneous epidermal-dermal barrier and local immune structure,departure from the reference structural configuration or regulated functional range,Oculomucocutaneous syndrome,remaining_5256
